p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season,target
27,2022,90,468,1633,36,8,13824,343,1970-01-27,197,65,Mumbai,Low,59,72,56,Goalkeeper,32,19.94347629287473,3,4,0,364,49,0
28,2023,49,138,1225,7,2,29376,439,1970-01-28,195,68,Delhi,High,89,35,92,Defender,30,27.874704049748722,1,3,1,754,9,0
29,2018,48,201,246,23,41,41566,497,1970-01-29,177,52,Bangalore,Low,41,48,78,Goalkeeper,25,20.39069704178895,1,3,1,701,88,0
30,2021,29,11,1973,14,6,45797,41,1970-01-30,154,73,Delhi,Medium,58,40,89,Midfielder,26,25.121490904332383,3,3,1,673,16,1
31,2018,99,165,723,10,39,25660,224,1970-01-31,150,95,Hyderabad,Low,76,54,73,Defender,37,25.98271020335463,3,1,1,30,74,1
32,2004,19,2,2485,26,1,82,273,1970-02-01,166,83,Bangalore,High,78,93,58,Defender,31,28.518131646134364,1,1,0,747,53,0
33,2010,42,262,2443,28,42,47337,468,1970-02-02,179,96,Hyderabad,High,81,84,53,Midfielder,33,29.759920813808858,1,2,1,38,16,0
34,2017,80,242,1447,33,13,29156,198,1970-02-03,172,78,Chennai,Medium,97,48,69,Goalkeeper,32,21.59495159776925,2,3,1,729,13,1
35,2001,74,16,1595,33,20,5972,170,1970-02-04,170,98,Chennai,Medium,53,33,84,Forward,26,20.05125112078309,2,2,0,475,65,1
36,2015,5,451,1389,33,1,40018,488,1970-02-05,155,74,Delhi,Low,56,33,65,Defender,32,25.74043710147811,2,4,1,729,68,1
37,2008,57,482,2677,27,33,21977,46,1970-02-06,193,52,Delhi,High,32,74,85,Goalkeeper,31,22.668003758750107,3,3,0,66,68,1
38,2023,35,155,2811,12,45,23306,407,1970-02-07,176,51,Mumbai,Medium,73,75,69,Goalkeeper,31,24.928850332277946,2,2,1,676,97,0
39,2008,49,129,1667,16,38,21305,96,1970-02-08,156,52,Mumbai,Medium,33,71,54,Midfielder,21,24.426369096723505,3,3,0,426,74,0
40,2005,20,309,96,29,7,33304,246,1970-02-09,193,83,Mumbai,High,93,47,57,Goalkeeper,27,24.662685034464694,2,3,0,299,83,1
41,2003,84,63,1429,37,7,48117,396,1970-02-10,196,86,Mumbai,Low,74,60,77,Forward,25,20.072289488797857,2,4,0,392,37,1
42,2004,95,352,698,2,6,16858,106,1970-02-11,191,62,Mumbai,Medium,82,33,84,Midfielder,27,27.01290074571333,1,4,0,398,87,1
43,2008,97,307,2810,12,32,42971,258,1970-02-12,185,92,Bangalore,Low,90,93,83,Midfielder,33,27.798078132800427,2,2,1,537,32,1
44,2012,61,24,506,23,22,47180,76,1970-02-13,173,54,Mumbai,High,48,48,92,Goalkeeper,38,22.90369997323164,1,1,1,559,22,1
45,2006,18,306,315,35,19,32190,314,1970-02-14,154,63,Chennai,Medium,83,70,87,Midfielder,38,23.4097744019516,2,4,0,164,71,0
46,2004,22,298,1040,28,6,18986,37,1970-02-15,171,74,Hyderabad,Low,51,63,89,Forward,28,24.01944320775285,3,1,1,111,15,0
47,2011,19,397,1499,28,26,3866,248,1970-02-16,186,71,Bangalore,High,67,92,51,Forward,32,18.971420224942264,3,4,0,415,64,0
48,2006,84,423,435,35,39,24597,422,1970-02-17,155,96,Hyderabad,High,67,82,69,Goalkeeper,21,26.888230873044435,2,3,0,421,58,0
49,2003,25,410,1688,28,21,4209,217,1970-02-18,169,61,Bangalore,Medium,38,83,60,Defender,19,23.646607536950327,3,2,1,98,20,0
50,2024,74,385,1199,2,38,44684,134,1970-02-19,186,98,Delhi,High,84,73,85,Forward,35,26.1499806356369,2,3,0,384,43,1
51,2023,41,125,647,34,35,14968,107,1970-02-20,172,90,Chennai,High,70,69,91,Midfielder,19,23.906128543268167,1,2,1,925,32,0
52,2016,53,45,5,27,18,27159,197,1970-02-21,188,75,Mumbai,Low,91,53,72,Forward,33,26.346624624487504,1,3,0,987,2,0
53,2005,89,267,604,2,0,47663,184,1970-02-22,197,88,Mumbai,High,76,95,53,Forward,19,22.74697908572361,2,1,0,511,33,1
54,2011,3,493,2720,25,31,16199,25,1970-02-23,177,63,Chennai,Medium,81,39,93,Forward,35,18.571270926902503,3,4,0,404,86,1
55,2022,40,458,818,30,3,13085,484,1970-02-24,177,83,Delhi,High,83,90,57,Forward,25,27.513427333733226,3,2,1,654,49,1
56,2011,59,134,1182,22,5,11015,221,1970-02-25,165,76,Mumbai,High,64,41,90,Goalkeeper,33,28.970851412013282,2,2,0,901,46,0
57,2016,91,138,245,17,11,20652,83,1970-02-26,153,94,Bangalore,Low,84,62,77,Defender,20,20.523039220146092,1,3,1,887,94,0
58,2012,19,335,493,9,20,27818,192,1970-02-27,165,97,Bangalore,Medium,83,55,71,Defender,20,24.014403447937276,3,2,0,570,98,0
59,2010,81,267,2947,14,4,2475,250,1970-02-28,153,54,Mumbai,High,30,40,97,Forward,32,28.589925518081763,2,1,1,655,20,0
60,2018,12,11,2664,16,18,17,433,1970-03-01,156,73,Hyderabad,Medium,31,77,84,Defender,28,20.818582089839715,2,3,0,462,79,0
61,2014,7,288,41,35,1,41018,81,1970-03-02,158,75,Delhi,Medium,94,46,77,Forward,35,29.713041671762007,1,3,1,663,2,1
62,2013,49,78,110,4,13,4008,490,1970-03-03,175,73,Bangalore,Medium,53,80,88,Forward,22,20.811599766086776,3,2,1,796,37,0
63,2014,2,372,476,21,29,45453,13,1970-03-04,186,81,Bangalore,High,66,65,57,Forward,35,22.651769743668197,3,2,1,268,81,1
64,2021,30,399,1554,0,48,11345,300,1970-03-05,182,94,Bangalore,Low,30,42,86,Goalkeeper,33,21.52098867468193,1,3,0,604,45,0
65,2000,69,115,1257,15,39,10241,189,1970-03-06,160,59,Chennai,High,68,51,55,Defender,32,20.97653568684016,1,4,1,942,66,1
66,2005,75,155,2921,27,28,39096,11,1970-03-07,160,57,Mumbai,Low,58,34,57,Defender,39,26.093636160126128,1,4,1,950,20,0
67,2024,40,217,2367,19,23,27513,123,1970-03-08,180,57,Delhi,High,47,96,94,Forward,30,29.877914063641683,2,2,1,446,60,0
68,2003,0,321,1896,20,18,29395,338,1970-03-09,173,60,Bangalore,Medium,41,31,88,Forward,35,19.654757246395953,2,4,0,362,65,1
69,2012,13,486,1644,34,39,27843,96,1970-03-10,175,65,Chennai,Low,67,69,57,Defender,33,27.53698608599082,3,2,0,567,19,0
70,2017,86,84,1833,34,33,10318,416,1970-03-11,154,76,Mumbai,High,52,97,62,Defender,27,23.82915617956524,3,2,1,177,15,1
71,2023,29,167,1059,7,41,49571,165,1970-03-12,154,62,Mumbai,Medium,54,95,64,Forward,31,26.670800514267135,1,2,1,972,43,0
72,2018,50,389,1171,1,34,15631,245,1970-03-13,161,97,Delhi,Medium,81,35,98,Forward,24,29.348328095931013,3,2,0,959,7,1
73,2021,77,250,2873,4,43,27003,207,1970-03-14,152,66,Bangalore,Low,44,34,78,Goalkeeper,26,27.6942893073252,3,4,1,361,7,1
74,2022,26,336,1929,11,22,49621,42,1970-03-15,179,71,Mumbai,Low,31,54,72,Goalkeeper,36,28.114997593313184,3,1,0,974,70,0
75,2014,16,318,2788,12,48,30531,52,1970-03-16,194,90,Delhi,High,48,35,52,Goalkeeper,37,21.67441903532532,2,3,0,858,7,1
76,2018,23,458,234,1,40,34555,362,1970-03-17,153,89,Delhi,High,95,32,56,Defender,38,22.6861444985297,2,1,1,43,32,1
77,2012,5,157,1142,11,19,24758,275,1970-03-18,177,65,Chennai,High,31,88,94,Forward,19,20.36671940012987,3,2,1,404,3,1
78,2005,86,101,2705,24,1,48563,267,1970-03-19,177,62,Hyderabad,Medium,57,68,79,Defender,35,20.51812671707438,1,1,1,201,26,0
79,2013,20,182,1441,16,47,36678,294,1970-03-20,166,84,Chennai,Low,62,79,61,Midfielder,19,18.875718467222075,3,1,0,11,69,0
80,2005,89,256,413,23,23,23149,389,1970-03-21,163,70,Chennai,Low,40,73,88,Defender,31,21.399413637510392,2,3,0,72,37,0
81,2014,96,251,1630,4,10,48458,7,1970-03-22,150,56,Bangalore,Medium,98,44,91,Goalkeeper,28,20.098176721654667,3,1,0,920,0,0
82,2005,71,18,2826,16,46,2542,494,1970-03-23,158,60,Chennai,High,84,42,61,Midfielder,35,25.06797523362372,1,4,0,280,50,1
83,2003,71,257,2130,27,38,1968,168,1970-03-24,186,60,Delhi,High,57,67,70,Midfielder,34,20.774125736873707,2,3,0,831,92,0
84,2012,3,162,358,15,2,4624,99,1970-03-25,154,85,Hyderabad,High,80,73,96,Midfielder,36,28.89103792412621,1,2,1,400,24,1
85,2012,56,332,2388,37,4,44721,352,1970-03-26,175,92,Hyderabad,Low,44,31,74,Midfielder,32,24.479145904715278,2,2,1,841,70,1
86,2017,11,254,1228,8,21,4989,331,1970-03-27,165,83,Mumbai,Low,61,54,53,Forward,31,23.01241095170548,3,2,1,66,64,1
87,2017,23,106,2362,22,26,9775,303,1970-03-28,150,64,Bangalore,Low,79,74,95,Forward,36,24.050439855132055,3,2,1,690,2,0
88,2003,59,18,1209,0,42,25452,488,1970-03-29,199,68,Chennai,Medium,56,47,85,Midfielder,31,20.663250188079406,2,1,0,350,42,1
89,2006,85,88,1864,8,26,43966,22,1970-03-30,161,62,Mumbai,Medium,71,75,80,Defender,33,29.1348180483337,1,1,0,425,87,0
90,2015,92,492,2147,20,12,14776,100,1970-03-31,159,93,Bangalore,High,88,97,63,Midfielder,32,25.762849315857416,3,4,0,154,44,1
91,2003,94,88,670,5,49,25291,58,1970-04-01,162,98,Chennai,Medium,95,32,51,Defender,35,28.354601142140723,2,2,0,86,85,1
92,2006,88,168,428,27,0,321,221,1970-04-02,153,66,Hyderabad,Low,88,96,80,Defender,23,24.390471915106026,1,4,1,994,61,1
93,2005,56,439,2440,13,13,27655,447,1970-04-03,161,87,Bangalore,Low,65,35,51,Midfielder,35,25.215614448615447,1,1,0,283,74,1
94,2001,53,160,300,9,38,46302,469,1970-04-04,173,52,Chennai,High,81,87,63,Midfielder,38,19.996220009335772,3,1,1,681,25,1
95,2009,50,271,969,21,23,6935,257,1970-04-05,169,64,Delhi,Medium,66,77,59,Defender,39,26.281297981224412,2,4,1,352,40,1
96,2008,15,464,369,4,4,37265,402,1970-04-06,175,91,Bangalore,Medium,91,87,75,Forward,22,20.04112042778576,2,4,0,400,47,1
97,2016,49,474,2142,32,49,23894,206,1970-04-07,171,66,Hyderabad,High,65,68,55,Midfielder,22,27.711589470288843,2,2,1,933,24,1
98,2006,0,382,2015,30,8,13214,380,1970-04-08,189,67,Hyderabad,Low,71,46,79,Goalkeeper,28,19.50343831221478,3,4,0,715,90,1
99,2016,68,391,2438,25,16,35807,141,1970-04-09,193,54,Hyderabad,Medium,57,41,95,Goalkeeper,27,20.66435600734492,1,2,0,788,12,1
100,2000,44,128,1836,18,2,35973,325,1970-04-10,179,93,Delhi,Low,82,96,96,Goalkeeper,35,23.48711885418145,2,3,0,327,73,1
101,2016,43,170,2175,20,27,1454,194,1970-04-11,165,58,Mumbai,Medium,65,81,65,Midfielder,38,29.105588147318553,3,3,0,75,30,0
102,2020,7,207,1019,3,22,15017,328,1970-04-12,194,86,Mumbai,Low,36,43,73,Goalkeeper,18,26.912652938303943,2,4,0,148,47,1
103,2023,54,26,1224,3,19,24681,284,1970-04-13,166,87,Hyderabad,Low,75,82,68,Midfielder,20,25.94156842949213,1,3,1,615,52,0
104,2009,7,125,854,11,0,28151,311,1970-04-14,192,84,Chennai,High,63,83,57,Goalkeeper,28,21.84030000766932,3,3,1,447,47,0
105,2017,37,475,280,37,29,32998,115,1970-04-15,160,55,Delhi,Medium,83,89,67,Midfielder,29,24.349523473733978,2,4,0,606,49,1
106,2013,25,336,2997,22,6,9602,394,1970-04-16,161,85,Chennai,Medium,73,94,59,Forward,23,28.530554024764555,1,2,0,727,73,0
107,2001,14,204,2892,20,7,6239,450,1970-04-17,152,83,Delhi,Low,62,40,94,Goalkeeper,35,25.8407604911202,2,4,0,59,22,0
108,2019,68,494,837,12,47,45927,443,1970-04-18,163,62,Bangalore,High,79,38,55,Defender,39,29.622961249885293,2,1,0,202,48,1
109,2003,53,265,2941,20,27,5395,284,1970-04-19,194,96,Delhi,Low,43,30,78,Goalkeeper,27,24.50050923295005,3,1,1,373,63,0
110,2010,48,135,1964,10,44,9716,326,1970-04-20,198,60,Delhi,Medium,52,45,50,Forward,33,19.299684117053914,2,3,1,629,16,1
111,2008,25,360,849,26,48,25623,95,1970-04-21,198,64,Hyderabad,Medium,47,79,61,Defender,32,26.740430135160352,1,2,1,165,88,1
112,2001,58,62,944,7,33,34270,147,1970-04-22,150,75,Bangalore,Medium,95,54,87,Forward,25,28.554120890743736,3,3,1,521,99,1
113,2005,11,38,196,36,46,44417,390,1970-04-23,167,81,Chennai,Low,96,64,85,Defender,22,26.205844008316443,1,3,0,54,21,0
114,2011,24,169,715,1,1,34945,144,1970-04-24,183,64,Mumbai,Medium,91,82,50,Goalkeeper,26,26.829874174622315,2,1,0,512,84,1
115,2014,55,160,1847,17,3,3133,340,1970-04-25,190,89,Mumbai,High,50,75,92,Forward,33,19.743716605625647,2,1,1,563,75,0
116,2017,99,175,1628,9,1,40161,424,1970-04-26,151,89,Chennai,Medium,52,48,82,Forward,33,19.210137991064432,3,3,1,642,1,0
117,2019,18,395,1067,18,21,21671,217,1970-04-27,165,97,Delhi,High,36,90,51,Midfielder,36,24.898337907452213,3,4,1,884,70,1
118,2017,98,238,2412,19,26,11292,422,1970-04-28,177,82,Hyderabad,Medium,31,55,68,Midfielder,29,29.132949754075685,3,1,0,309,12,1
119,2011,88,189,439,24,44,5955,172,1970-04-29,172,88,Bangalore,High,49,79,57,Defender,38,24.495278048398454,2,1,1,571,50,1
120,2019,70,135,2868,28,12,25767,138,1970-04-30,196,62,Bangalore,Medium,49,51,51,Midfielder,32,26.735767416135815,1,3,1,977,60,1
121,2020,92,114,1276,14,11,18501,192,1970-05-01,152,82,Chennai,Medium,45,91,65,Forward,26,26.320336655017186,2,4,1,180,81,0
122,2018,87,34,632,6,42,15962,405,1970-05-02,193,63,Delhi,Medium,73,65,79,Forward,23,27.379668753655892,3,2,1,73,5,0
123,2011,46,124,285,30,41,38812,221,1970-05-03,160,55,Bangalore,Low,81,94,81,Defender,39,27.727734838050495,2,1,1,626,10,0
124,2008,27,346,138,28,30,6586,259,1970-05-04,190,89,Hyderabad,High,86,63,83,Forward,26,23.447715341816146,2,4,1,116,60,0
125,2015,62,311,1053,19,21,24760,140,1970-05-05,197,80,Mumbai,Low,46,94,67,Defender,33,23.161071574013384,1,2,0,105,79,1
126,2016,61,395,108,34,33,20044,327,1970-05-06,185,72,Mumbai,High,70,60,52,Midfielder,26,18.92473159426683,3,4,0,560,86,0
127,2013,3,364,234,21,39,17913,480,1970-05-07,160,67,Bangalore,Low,50,72,67,Midfielder,26,22.81654464918902,2,2,0,1,64,1
128,2023,31,351,2689,8,9,22153,277,1970-05-08,170,96,Chennai,Medium,76,91,66,Goalkeeper,21,18.96531457516265,3,2,1,80,1,1
129,2012,37,141,2242,16,43,17265,174,1970-05-09,185,78,Bangalore,High,85,59,76,Forward,35,27.373495256282254,2,1,1,81,29,0
130,2017,51,120,1557,10,45,44316,46,1970-05-10,180,99,Hyderabad,Medium,64,45,95,Defender,18,29.61334177522743,1,4,1,807,18,1
131,2003,88,420,1609,5,36,4594,312,1970-05-11,160,62,Mumbai,Low,80,50,56,Forward,20,26.32039731896377,3,2,0,86,59,0
132,2009,94,360,1775,8,23,6851,215,1970-05-12,184,57,Bangalore,Medium,83,55,98,Midfielder,35,23.949135661593257,2,4,0,181,35,0
133,2012,29,273,2141,21,42,22982,0,1970-05-13,176,58,Delhi,High,62,93,57,Goalkeeper,31,27.403332025144962,1,2,0,263,32,0
134,2017,96,467,2179,35,16,49994,152,1970-05-14,169,81,Chennai,Low,44,61,96,Midfielder,23,27.629342271020707,3,2,1,615,46,0
135,2001,58,353,2879,27,9,49999,311,1970-05-15,173,61,Delhi,High,35,77,68,Defender,29,26.72931643402096,1,2,0,341,16,1
136,2013,46,197,2305,25,45,30367,378,1970-05-16,160,95,Delhi,Medium,93,44,60,Defender,32,26.536600786503023,3,4,1,872,44,1
137,2009,20,84,1721,29,22,33122,392,1970-05-17,157,81,Chennai,Medium,43,30,85,Goalkeeper,31,19.833680189934,1,1,0,8,77,0
138,2022,70,298,2994,26,26,43272,112,1970-05-18,170,92,Mumbai,High,52,71,81,Goalkeeper,20,25.237786192473845,1,4,1,163,71,1
139,2006,24,251,1675,5,2,33351,488,1970-05-19,157,77,Hyderabad,Medium,85,46,87,Forward,36,23.620007129240363,2,2,0,64,93,0
140,2018,30,223,1547,0,1,20784,251,1970-05-20,167,77,Hyderabad,Low,53,55,95,Midfielder,21,25.5429472857799,1,2,1,465,21,0
141,2008,92,171,161,11,48,49763,294,1970-05-21,171,88,Chennai,Medium,78,78,89,Forward,20,23.885081930382015,2,4,0,524,14,1
142,2005,72,245,2399,34,3,19584,447,1970-05-22,195,86,Hyderabad,Medium,87,87,63,Forward,31,23.116942909098494,1,1,0,849,8,1
143,2006,22,434,834,37,25,9499,197,1970-05-23,152,85,Bangalore,Medium,33,95,91,Defender,19,23.72166094027684,3,3,1,256,79,0
144,2004,28,50,69,29,33,27761,327,1970-05-24,182,85,Delhi,High,87,31,66,Goalkeeper,36,19.611160703137923,2,2,0,116,30,1
145,2000,52,294,1015,2,25,22033,85,1970-05-25,191,94,Hyderabad,High,86,97,80,Goalkeeper,18,18.956595910001457,1,2,1,30,93,0
146,2009,68,312,432,5,41,44156,467,1970-05-26,152,91,Chennai,High,74,93,68,Goalkeeper,37,21.759423111157425,1,4,1,769,8,0
147,2016,38,237,280,14,42,39406,108,1970-05-27,184,76,Bangalore,Medium,77,76,86,Forward,26,29.12259017250244,3,3,0,670,34,1
148,2022,6,59,595,22,11,38959,114,1970-05-28,160,87,Mumbai,High,50,35,94,Midfielder,27,28.799735844228564,1,2,1,766,39,1
149,2021,73,297,2336,18,11,12535,148,1970-05-29,188,98,Hyderabad,Low,75,79,51,Goalkeeper,19,26.860624090883693,1,1,0,968,41,1
150,2017,46,102,2154,32,16,16610,415,1970-05-30,168,94,Chennai,High,33,67,65,Defender,22,24.40720890889658,1,3,0,961,18,1
151,2018,64,260,55,4,14,23691,93,1970-05-31,172,78,Mumbai,Medium,78,54,55,Forward,20,27.63130160747042,2,4,1,946,36,1
152,2007,33,52,2124,10,4,30122,460,1970-06-01,182,60,Delhi,Low,55,36,54,Midfielder,25,23.281036137991563,1,4,1,436,74,1
153,2024,26,348,648,16,6,37480,381,1970-06-02,175,97,Mumbai,Low,57,57,57,Forward,33,22.513997876560314,1,3,0,769,53,0
154,2000,68,166,1729,33,22,845,63,1970-06-03,198,53,Chennai,High,65,40,55,Forward,20,22.158466017833714,1,3,1,446,38,0
155,2018,62,121,762,20,39,25857,195,1970-06-04,163,96,Bangalore,High,93,79,98,Defender,22,28.95847784403126,2,4,0,190,64,0
156,2023,86,308,2438,31,40,24515,440,1970-06-05,188,68,Chennai,Medium,56,87,67,Defender,35,20.28769743439217,1,2,1,887,79,0
157,2006,69,477,2797,27,17,14752,417,1970-06-06,155,54,Hyderabad,High,62,51,66,Forward,35,19.013349629497352,1,2,0,822,51,1
158,2024,64,440,2027,24,29,9444,83,1970-06-07,169,53,Mumbai,Low,90,84,66,Defender,22,28.77511567685876,2,4,1,859,38,1
159,2003,7,443,2257,4,34,44116,237,1970-06-08,196,91,Hyderabad,Medium,90,50,63,Goalkeeper,23,27.287817522541182,2,2,1,98,54,1
160,2015,6,262,736,2,14,42372,222,1970-06-09,154,72,Delhi,Low,79,68,82,Forward,38,26.142684358268482,1,1,0,44,80,1
161,2018,93,227,2662,19,6,20201,480,1970-06-10,194,67,Chennai,Low,91,83,84,Midfielder,22,20.45678562673959,3,4,1,995,65,1
162,2014,1,469,2362,33,8,813,156,1970-06-11,165,75,Mumbai,High,45,76,69,Midfielder,26,27.784393219734955,2,1,1,619,13,0
163,2021,70,224,2577,6,21,42328,496,1970-06-12,155,51,Mumbai,Medium,38,40,69,Goalkeeper,19,22.59610628083317,2,4,1,791,47,0
164,2014,81,413,597,24,18,4347,477,1970-06-13,160,80,Mumbai,High,91,37,87,Midfielder,21,28.223045688786225,2,1,1,205,10,1
165,2020,10,134,984,4,42,5582,433,1970-06-14,154,50,Delhi,Medium,54,53,87,Goalkeeper,37,19.05357650339401,3,3,1,970,87,0
166,2013,66,379,1851,10,38,20831,281,1970-06-15,180,51,Chennai,Medium,57,80,62,Midfielder,32,18.90096266382471,1,4,1,492,38,0
167,2012,10,367,1346,19,8,38684,136,1970-06-16,186,57,Chennai,High,58,81,70,Midfielder,35,20.287032520612204,1,2,1,699,39,1
168,2018,27,209,1860,33,12,13568,265,1970-06-17,191,78,Delhi,Medium,68,59,69,Defender,35,29.712812856740292,3,1,1,420,29,0
169,2007,6,235,1797,11,28,15895,114,1970-06-18,151,58,Chennai,Medium,69,73,86,Midfielder,20,27.243213050303872,3,2,0,575,68,0
170,2009,61,393,2555,19,5,5720,451,1970-06-19,185,66,Hyderabad,Low,37,31,54,Goalkeeper,39,27.563855545238383,3,4,1,883,48,0
171,2011,94,5,982,31,24,30132,85,1970-06-20,197,54,Hyderabad,Medium,49,62,67,Forward,20,20.174389106571798,3,2,1,151,97,1
172,2021,46,473,775,19,43,33104,358,1970-06-21,160,87,Delhi,Low,50,62,77,Defender,29,21.406750537271975,3,3,1,703,64,0
173,2017,24,231,1,8,17,25733,327,1970-06-22,189,68,Delhi,Medium,64,30,50,Forward,37,29.231861483493184,1,4,1,872,57,1
174,2016,48,366,1634,19,33,8571,399,1970-06-23,192,93,Mumbai,Low,82,65,63,Defender,36,25.733658393780036,1,2,0,568,17,0
175,2010,77,155,2881,2,38,29150,177,1970-06-24,198,56,Hyderabad,Low,63,50,80,Midfielder,26,26.90981510437863,1,2,1,121,58,0
176,2000,65,286,2322,5,35,32401,327,1970-06-25,181,90,Mumbai,Medium,71,97,64,Defender,30,27.985367142662625,3,2,1,621,10,1
177,2018,5,380,1122,12,40,26592,451,1970-06-26,197,69,Hyderabad,Low,86,96,94,Goalkeeper,18,22.779841903668633,1,4,1,113,93,1
178,2000,52,296,634,26,32,31721,196,1970-06-27,169,79,Delhi,Low,45,38,90,Midfielder,24,27.685243684580335,1,4,0,647,30,1
179,2013,46,59,883,22,3,38944,310,1970-06-28,181,98,Mumbai,High,36,84,93,Defender,34,25.510252009998812,2,4,1,651,14,0
180,2009,86,243,434,11,45,39407,439,1970-06-29,174,91,Delhi,Low,72,61,76,Midfielder,18,29.882259564584206,2,2,1,398,51,0
181,2022,83,59,781,19,4,41131,453,1970-06-30,170,75,Chennai,Medium,54,48,50,Defender,27,19.40334015809662,3,2,1,689,61,0
182,2023,63,200,362,0,12,15569,333,1970-07-01,189,79,Chennai,Low,34,67,89,Midfielder,34,25.525180480884703,3,2,0,331,82,0
183,2001,73,241,1932,17,30,20503,142,1970-07-02,163,56,Delhi,Medium,74,80,52,Goalkeeper,32,27.278847701589676,3,3,0,838,40,1
184,2000,74,398,2100,5,17,34681,489,1970-07-03,187,71,Hyderabad,Low,64,47,79,Goalkeeper,29,25.964240329083236,2,4,1,296,52,1
185,2006,31,408,2933,5,31,39039,216,1970-07-04,169,71,Delhi,Medium,82,70,82,Midfielder,29,20.908836741627372,1,1,1,392,66,0
